date_key,full_date,year,quarter,month_number,month_name,month_short,week_of_year,day_of_week_number,day_of_week_name,day_of_week_short,day_of_month,weekday_indicator,year_quarter,year_month
20160601,2016-06-01,2016,2,6,June,Jun,22,3,Wednesday,Wed,1,Weekday,2016-Q2,2016-06
20160602,2016-06-02,2016,2,6,June,Jun,22,4,Thursday,Thu,2,Weekday,2016-Q2,2016-06
20160603,2016-06-03,2016,2,6,June,Jun,22,5,Friday,Fri,3,Weekday,2016-Q2,2016-06
20160604,2016-06-04,2016,2,6,June,Jun,22,6,Saturday,Sat,4,Weekend,2016-Q2,2016-06
20160605,2016-06-05,2016,2,6,June,Jun,22,7,Sunday,Sun,5,Weekend,2016-Q2,2016-06
20160606,2016-06-06,2016,2,6,June,Jun,23,1,Monday,Mon,6,Weekday,2016-Q2,2016-06
20160607,2016-06-07,2016,2,6,June,Jun,23,2,Tuesday,Tue,7,Weekday,2016-Q2,2016-06
20160608,2016-06-08,2016,2,6,June,Jun,23,3,Wednesday,Wed,8,Weekday,2016-Q2,2016-06
20160609,2016-06-09,2016,2,6,June,Jun,23,4,Thursday,Thu,9,Weekday,2016-Q2,2016-06
20160610,2016-06-10,2016,2,6,June,Jun,23,5,Friday,Fri,10,Weekday,2016-Q2,2016-06
20160611,2016-06-11,2016,2,6,June,Jun,23,6,Saturday,Sat,11,Weekend,2016-Q2,2016-06
20160612,2016-06-12,2016,2,6,June,Jun,23,7,Sunday,Sun,12,Weekend,2016-Q2,2016-06
20160613,2016-06-13,2016,2,6,June,Jun,24,1,Monday,Mon,13,Weekday,2016-Q2,2016-06
20160614,2016-06-14,2016,2,6,June,Jun,24,2,Tuesday,Tue,14,Weekday,2016-Q2,2016-06
20160615,2016-06-15,2016,2,6,June,Jun,24,3,Wednesday,Wed,15,Weekday,2016-Q2,2016-06
20160616,2016-06-16,2016,2,6,June,Jun,24,4,Thursday,Thu,16,Weekday,2016-Q2,2016-06
20160617,2016-06-17,2016,2,6,June,Jun,24,5,Friday,Fri,17,Weekday,2016-Q2,2016-06
20160618,2016-06-18,2016,2,6,June,Jun,24,6,Saturday,Sat,18,Weekend,2016-Q2,2016-06
20160619,2016-06-19,2016,2,6,June,Jun,24,7,Sunday,Sun,19,Weekend,2016-Q2,2016-06
20160620,2016-06-20,2016,2,6,June,Jun,25,1,Monday,Mon,20,Weekday,2016-Q2,2016-06
20160621,2016-06-21,2016,2,6,June,Jun,25,2,Tuesday,Tue,21,Weekday,2016-Q2,2016-06
20160622,2016-06-22,2016,2,6,June,Jun,25,3,Wednesday,Wed,22,Weekday,2016-Q2,2016-06
20160623,2016-06-23,2016,2,6,June,Jun,25,4,Thursday,Thu,23,Weekday,2016-Q2,2016-06
20160624,2016-06-24,2016,2,6,June,Jun,25,5,Friday,Fri,24,Weekday,2016-Q2,2016-06
20160625,2016-06-25,2016,2,6,June,Jun,25,6,Saturday,Sat,25,Weekend,2016-Q2,2016-06
20160626,2016-06-26,2016,2,6,June,Jun,25,7,Sunday,Sun,26,Weekend,2016-Q2,2016-06
20160627,2016-06-27,2016,2,6,June,Jun,26,1,Monday,Mon,27,Weekday,2016-Q2,2016-06
20160628,2016-06-28,2016,2,6,June,Jun,26,2,Tuesday,Tue,28,Weekday,2016-Q2,2016-06
20160629,2016-06-29,2016,2,6,June,Jun,26,3,Wednesday,Wed,29,Weekday,2016-Q2,2016-06
20160630,2016-06-30,2016,2,6,June,Jun,26,4,Thursday,Thu,30,Weekday,2016-Q2,2016-06
20160701,2016-07-01,2016,3,7,July,Jul,26,5,Friday,Fri,1,Weekday,2016-Q3,2016-07
20160702,2016-07-02,2016,3,7,July,Jul,26,6,Saturday,Sat,2,Weekend,2016-Q3,2016-07
20160703,2016-07-03,2016,3,7,July,Jul,26,7,Sunday,Sun,3,Weekend,2016-Q3,2016-07
20160704,2016-07-04,2016,3,7,July,Jul,27,1,Monday,Mon,4,Weekday,2016-Q3,2016-07
20160705,2016-07-05,2016,3,7,July,Jul,27,2,Tuesday,Tue,5,Weekday,2016-Q3,2016-07
20160706,2016-07-06,2016,3,7,July,Jul,27,3,Wednesday,Wed,6,Weekday,2016-Q3,2016-07
20160707,2016-07-07,2016,3,7,July,Jul,27,4,Thursday,Thu,7,Weekday,2016-Q3,2016-07
20160708,2016-07-08,2016,3,7,July,Jul,27,5,Friday,Fri,8,Weekday,2016-Q3,2016-07
